total_memory(B),available_memory(B),used_memory(B),free_memory(B),percent_used(%),active_memory(B),inactive_memory(B),buffers(B),cached(B),shared_memory(B),slab(B)
7910813696,6857404416,771596288,6699794432,13.3,113627136,630304768,18358272,421064704,3678208,187387904
7910813696,6857404416,771596288,6699794432,13.3,113627136,630304768,18358272,421064704,3678208,187387904
7910813696,6857404416,771596288,6699794432,13.3,113627136,630304768,18358272,421064704,3678208,187641856
7910813696,6857404416,771596288,6699794432,13.3,113627136,630304768,18358272,421064704,3678208,187961344
7910813696,6858924032,770076672,6701314048,13.3,113627136,630300672,18358272,421064704,3678208,188284928
7910813696,6858649600,770342912,6701039616,13.3,113627136,630300672,18366464,421064704,3678208,188284928
7910813696,6858981376,770011136,6701371392,13.3,113627136,630304768,18366464,421064704,3678208,187453440
7910813696,6858981376,770011136,6701371392,13.3,113627136,630304768,18366464,421064704,3678208,187453440
7910813696,6858981376,770011136,6701371392,13.3,113627136,630304768,18366464,421064704,3678208,187707392
7910813696,6858981376,770011136,6701371392,13.3,113627136,630304768,18366464,421064704,3678208,187707392
7910813696,6858981376,770011136,6701371392,13.3,113627136,630304768,18366464,421064704,3678208,187674624
7910813696,6858981376,770011136,6701371392,13.3,113627136,630304768,18366464,421064704,3678208,187928576
7910813696,6858981376,770011136,6701371392,13.3,113627136,630304768,18366464,421064704,3678208,187748352
7910813696,6858981376,770011136,6701371392,13.3,113627136,630304768,18366464,421064704,3678208,187494400
7910813696,6858981376,770011136,6701371392,13.3,113627136,630304768,18366464,421064704,3678208,187453440
